stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_2,logistic_regression_l2,120600,validation,chinext,2023-02,0.75,26,19,26.0,0.3157894736842105,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2023-03,0.5,13,6,13.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2023-04,0.45454545454545453,13,5,13.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2023-07,0.25,5,1,5.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2023-08,0.0,2,0,2.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2023-11,0.3333333333333333,4,1,4.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2022-01,0.25,16,4,16.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2022-06,0.3,8,2,8.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2022-07,0.5,43,21,43.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2022-08,0.48,98,47,98.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2022-11,0.40963855421686746,71,29,71.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2022-12,0.2839506172839506,80,22,80.0,0.045454545454545456,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-01,0.45787545787545786,285,130,285.0,0.05384615384615385,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-02,0.4625,158,73,158.0,0.0547945205479452,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-03,0.26881720430107525,102,27,102.0,0.14814814814814814,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-04,0.1346153846153846,96,12,96.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-07,0.010416666666666666,84,1,84.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-08,0.25,37,9,37.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,main_board,2023-11,0.4864864864864865,28,13,28.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-03,0.15789473684210525,22,3,22.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-04,0.5882352941176471,36,21,36.0,0.09523809523809523,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-05,0.7222222222222222,21,15,21.0,0.06666666666666667,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-09,0.5483870967741935,37,20,37.0,0.4,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-10,0.5555555555555556,7,3,7.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-11,0.25,4,1,4.0,1.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2024-12,0.6666666666666666,4,2,4.0,0.5,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-02,0.64,22,14,22.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-03,0.0,1,0,1.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-04,0.0,1,0,1.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-05,0.42105263157894735,21,8,21.0,0.125,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-06,0.6935483870967742,62,43,62.0,0.20930232558139536,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-07,0.3333333333333333,57,19,57.0,0.5263157894736842,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-08,0.4642857142857143,52,24,52.0,0.25,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-09,0.16666666666666666,16,2,16.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-10,0.5,11,5,11.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,chinext,2025-11,0.5,5,2,5.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-03,0.3765432098765432,161,60,161.0,0.1,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-04,0.4069767441860465,232,94,232.0,0.031914893617021274,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-05,0.4019607843137255,107,43,107.0,0.09302325581395349,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-09,0.32142857142857145,77,24,77.0,0.125,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-10,0.3939393939393939,113,44,113.0,0.045454545454545456,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-11,0.10101010101010101,128,12,128.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2024-12,0.2857142857142857,121,34,121.0,0.08823529411764706,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-02,0.5075757575757576,150,76,150.0,0.05263157894736842,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-03,0.26262626262626265,105,27,105.0,0.037037037037037035,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-04,0.16666666666666666,7,1,7.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-05,0.24074074074074073,108,26,108.0,0.11538461538461539,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-06,0.31275720164609055,251,78,251.0,0.16666666666666666,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-07,0.21712538226299694,338,73,338.0,0.1643835616438356,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-08,0.17467248908296942,230,40,230.0,0.2,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-09,0.25,112,28,112.0,0.03571428571428571,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120601,robustness,main_board,2025-10,0.1702127659574468,130,22,130.0,0.045454545454545456,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
