split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
robustness,labelable_full,defend_bottom50_continue_rest,defended,positive,829,0.33213141025641024,0.11994642748964128,0.11994642748964128,-0.004999999999999999,-0.12494642748964127,-103.58058838891262,-0.04149863316863486,0.04149863316863486,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom50_continue_rest,defended,negative,379,0.1518429487179487,-0.09434559463719737,-0.09434559463719737,-0.004999999999999999,0.08934559463719736,33.8619803674978,0.013566498544670593,0.0,0.01521198241893575,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom50_continue_rest,defended,neutral,399,0.15985576923076922,-0.0397644270556686,-0.0397644270556686,-0.004999999999999999,0.0347644270556686,13.871006395211772,0.0055572942288508705,0.0,0.0,0.0055572942288508705,0.0,0.0,pass,
robustness,labelable_full,defend_bottom50_continue_rest,continued,positive,517,0.20713141025641027,0.11842853135512127,0.11842853135512127,-0.005,-0.12342853135512126,0.0,0.0,0.0,0.0,0.0,0.025565925765463817,0.0,pass,
robustness,labelable_full,defend_bottom50_continue_rest,continued,negative,147,0.05889423076923077,-0.08895271464092874,-0.08895271464092874,-0.005,0.08395271464092872,0.0,0.0,0.0,0.0,0.0,0.0,0.0055495694746318415,pass,
robustness,labelable_full,defend_bottom50_continue_rest,continued,neutral,225,0.09014423076923077,-0.0395981208364101,-0.0395981208364101,-0.005,0.034598120836410104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom50_continue_rest,defended,positive,141,0.21234939759036145,0.13356282510964396,0.13356282510964396,-0.005,-0.13856282510964396,-19.537358340459797,-0.0294237324404515,0.0294237324404515,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom50_continue_rest,defended,negative,107,0.16114457831325302,-0.10496331365694216,-0.10496331365694216,-0.004999999999999999,0.09996331365694214,10.696074561292809,0.016108546026043388,0.0,0.017275067996990044,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom50_continue_rest,defended,neutral,85,0.1280120481927711,-0.04760847676055408,-0.04760847676055408,-0.005,0.04260847676055407,3.6217205246470963,0.005454398380492615,0.0,0.0,0.005454398380492615,0.0,0.0,pass,
validation,labelable_full,defend_bottom50_continue_rest,continued,positive,184,0.27710843373493976,0.1368756522885666,0.1368756522885666,-0.004999999999999999,-0.14187565228856655,0.0,0.0,0.0,0.0,0.0,0.0393149397908076,0.0,pass,
validation,labelable_full,defend_bottom50_continue_rest,continued,negative,73,0.10993975903614457,-0.11282546188775804,-0.11282546188775804,-0.005,0.10782546188775806,0.0,0.0,0.0,0.0,0.0,0.0,0.012361169795210285,pass,
validation,labelable_full,defend_bottom50_continue_rest,continued,neutral,74,0.11144578313253012,-0.04113765485357684,-0.04113765485357684,-0.005,0.036137654853576846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
train,labelable_full,continue_top30_defend_rest,defended,positive,6528,0.3224499876512719,0.10779944227471913,0.10779944227471913,-0.004999999999999999,-0.1127994422747191,-736.3547591693663,-0.03637217876855353,0.03637217876855353,0.0,0.0,0.0,0.0,pass,
train,labelable_full,continue_top30_defend_rest,defended,negative,3730,0.18424302296863423,-0.1088233658063173,-0.1088233658063173,-0.004999999999999999,0.10382336580631726,387.2611544575634,0.019128730770934226,0.0,0.020487804340410237,0.0,0.0,0.0,pass,
train,labelable_full,continue_top30_defend_rest,defended,neutral,3913,0.19328229192393184,-0.04048296845590076,-0.04048296845590076,-0.004999999999999999,0.03548296845590076,138.84485556793967,0.006858229467421075,0.0,0.0,0.006858229467421075,0.0,0.0,pass,
train,labelable_full,continue_top30_defend_rest,continued,positive,3550,0.17535193875030872,0.12408658669958209,0.12408658669958209,-0.005,-0.12908658669958206,0.0,0.0,0.0,0.0,0.0,0.022635583244431528,0.0,pass,
train,labelable_full,continue_top30_defend_rest,continued,negative,1154,0.057001728821931344,-0.09830159834171452,-0.09830159834171452,-0.004999999999999999,0.09330159834171453,0.0,0.0,0.0,0.0,0.0,0.0,0.00590577713967079,pass,
train,labelable_full,continue_top30_defend_rest,continued,neutral,1370,0.06767102988392196,-0.03870347491346408,-0.03870347491346408,-0.004999999999999999,0.03370347491346407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,continue_top30_defend_rest,defended,positive,1091,0.437099358974359,0.11891729301753104,0.11891729301753104,-0.005,-0.12391729301753103,-135.19376668212635,-0.054164169343800625,0.054164169343800625,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,continue_top30_defend_rest,defended,negative,448,0.1794871794871795,-0.094336580661473,-0.094336580661473,-0.004999999999999999,0.08933658066147299,40.0227881363399,0.01603477088795669,0.0,0.017964258977645153,0.0,0.0,0.0,pass,
robustness,labelable_full,continue_top30_defend_rest,defended,neutral,517,0.20713141025641027,-0.0407143048621704,-0.0407143048621704,-0.005,0.03571430486217041,18.4642956137421,0.007397554332428726,0.0,0.0,0.007397554332428726,0.0,0.0,pass,
robustness,labelable_full,continue_top30_defend_rest,continued,positive,255,0.10216346153846154,0.12127204869562332,0.12127204869562332,-0.004999999999999999,-0.1262720486956233,0.0,0.0,0.0,0.0,0.0,0.012900389590298053,0.0,pass,
robustness,labelable_full,continue_top30_defend_rest,continued,negative,78,0.03125,-0.0842338626073644,-0.0842338626073644,-0.005,0.0792338626073644,0.0,0.0,0.0,0.0,0.0,0.0,0.0027972929159224406,pass,
robustness,labelable_full,continue_top30_defend_rest,continued,neutral,107,0.042868589743589744,-0.034825121211793875,-0.034825121211793875,-0.004999999999999999,0.029825121211793877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
