factor_id,horizon,train_mean_rankIC,direction_i
alpha161,H20,0.04909873179858717,1.0
alpha161,H3,0.015877695050705548,1.0
alpha161,H5,0.015814491760400277,1.0
alpha162,H1,-0.004873803164391064,-1.0
alpha162,H10,0.0076351666965293755,1.0
alpha162,H20,0.012648481148554847,1.0
alpha162,H3,-0.013470196690267174,-1.0
alpha162,H5,-0.008868068205485306,-1.0
alpha163,H1,0.03575433450556819,1.0
alpha163,H10,0.019135685964125126,1.0
alpha163,H20,0.008324485413023172,1.0
alpha163,H3,0.039036300131095124,1.0
alpha163,H5,0.029242270101835922,1.0
alpha164,H1,-0.005994159652338308,-1.0
alpha164,H10,-0.02719273537906464,-1.0
alpha164,H20,-0.041053045067270186,-1.0
alpha164,H3,-0.012829422416952087,-1.0
alpha164,H5,-0.012618931371006647,-1.0
alpha166,H1,0.0025646581787506237,1.0
alpha166,H10,-0.005427730920624487,-1.0
alpha166,H20,0.005732684158448527,1.0
alpha166,H3,0.0021152570478681757,1.0
alpha166,H5,0.0036309668497339796,1.0
alpha167,H1,0.007903294824379079,1.0
alpha167,H10,0.02669489641513621,1.0
alpha167,H20,0.04287090501097702,1.0
alpha167,H3,0.012302796136135375,1.0
alpha167,H5,0.010602689694959342,1.0
alpha168,H1,-0.0029902212667384702,-1.0
alpha168,H10,0.0022206817571401283,1.0
alpha168,H20,0.003970345759120242,1.0
alpha168,H3,-0.005644120664927127,-1.0
alpha168,H5,0.004157475503267019,1.0
alpha169,H1,0.005064471499378088,1.0
alpha169,H10,-0.010136721221753842,-1.0
alpha169,H20,-0.02282913122951339,-1.0
alpha169,H3,-0.012852414962930502,-1.0
alpha169,H5,-0.009447166899297952,-1.0
alpha170,H1,0.01663385310605193,1.0
alpha170,H10,0.004451156128614412,1.0
alpha170,H20,-0.00832863239502643,-1.0
alpha170,H3,0.021885954155605014,1.0
alpha170,H5,0.01422780046468551,1.0
alpha171,H1,0.03295702514583238,1.0
alpha171,H10,0.020015117404766428,1.0
alpha171,H20,0.013873601197580049,1.0
alpha171,H3,0.03272253539086779,1.0
alpha171,H5,0.03242032617700432,1.0
alpha172,H1,-0.0053899515985004485,-1.0
alpha172,H10,0.007386972925519079,1.0
alpha172,H20,0.0056053576283325,1.0
alpha172,H3,0.00409953665768876,1.0
alpha172,H5,0.0007881730082304525,1.0
alpha173,H1,0.006485377258366808,1.0
alpha173,H10,0.03679309053459138,1.0
alpha173,H20,0.05316754818244866,1.0
alpha173,H3,0.01750569263892449,1.0
alpha173,H5,0.022687166971122545,1.0
alpha174,H1,0.00818342056171314,1.0
alpha174,H10,0.03355740356231936,1.0
alpha174,H20,0.05148449975058251,1.0
alpha174,H3,0.013677369325641713,1.0
alpha174,H5,0.015248040363644896,1.0
alpha175,H1,0.009887568442766724,1.0
alpha175,H10,0.032536315860500375,1.0
alpha175,H20,0.04862363657262878,1.0
alpha175,H3,0.01659376859653724,1.0
alpha175,H5,0.01601015088459395,1.0
alpha178,H1,-0.03133085418850611,-1.0
alpha178,H10,-0.018671086822017843,-1.0
alpha178,H20,-0.002281219519909367,-1.0
alpha178,H3,-0.03962400616455192,-1.0
alpha178,H5,-0.03736280026090526,-1.0
alpha181,H1,0.01006058401655173,1.0
alpha181,H10,-0.004670094681379226,-1.0
alpha181,H20,-0.009516099371642,-1.0
alpha181,H3,0.015112574292469372,1.0
alpha181,H5,0.00840018731888628,1.0
alpha182,H1,0.012754311120416261,1.0
alpha182,H10,0.014841606550580689,1.0
alpha182,H20,0.005494994244877932,1.0
alpha182,H3,0.00477361513088903,1.0
alpha182,H5,0.006980109054565936,1.0
alpha185,H1,-0.0067639797033815716,-1.0
alpha185,H10,0.003345320042154008,1.0
alpha185,H20,0.0009374912181010565,1.0
alpha185,H3,-0.006164540003170356,-1.0
alpha185,H5,0.00694301228544628,1.0
alpha186,H1,-0.004139014275134723,-1.0
alpha186,H10,0.008837601858083109,1.0
alpha186,H20,0.00035615428060477717,1.0
alpha186,H3,0.0019190599605083335,1.0
