segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
169,2024-03-18,2024-03-22,risk_on,5,4430.66,4370.85,5,-0.013499117512966397
170,2024-03-25,2024-03-25,transition,1,4309.05,4309.05,1,0.0
171,2024-03-26,2024-03-26,risk_on,1,4314.0,4314.0,1,0.0
172,2024-03-27,2024-03-27,transition,1,4221.59,4221.59,1,0.0
173,2024-03-28,2024-04-01,risk_on,3,4275.62,4392.63,5,0.027366791248988553
174,2024-04-02,2024-04-10,transition,5,4374.78,4258.49,9,-0.02658190811880823
175,2024-04-11,2024-04-15,risk_on,3,4265.38,4249.41,5,-0.0037440978295018024
176,2024-04-16,2024-04-16,risk_off,1,4126.45,4126.45,1,0.0
177,2024-04-17,2024-04-18,risk_on,2,4251.51,4253.33,2,0.00042808319867515543
178,2024-04-19,2024-04-19,transition,1,4226.22,4226.22,1,0.0
179,2024-04-22,2024-05-31,risk_on,27,4204.4,4288.11,40,0.01991009418704226
180,2024-06-03,2024-07-03,transition,22,4264.53,4032.86,31,-0.054324861121858636
181,2024-07-04,2024-07-10,risk_off,5,3979.92,3969.79,7,-0.002545277292005932
182,2024-07-11,2024-07-22,transition,8,4041.79,4032.86,12,-0.0022094171146942454
183,2024-07-23,2024-07-30,risk_off,6,3939.51,3906.45,8,-0.008391906607674637
184,2024-07-31,2024-08-01,transition,2,4020.58,4003.24,2,-0.0043128105895169355
185,2024-08-02,2024-09-25,risk_off,37,3956.12,3937.57,55,-0.004688937645976332
186,2024-09-26,2024-10-10,risk_on,6,4096.24,4670.36,15,0.14015780325371563
187,2024-10-11,2024-10-11,transition,1,4514.19,4514.19,1,0.0
188,2024-10-14,2024-10-14,risk_on,1,4629.51,4629.51,1,0.0
189,2024-10-15,2024-10-17,transition,3,4524.67,4480.87,3,-0.009680263975052394
190,2024-10-18,2024-12-30,risk_on,52,4647.3,4859.79,74,0.04572332321993411
191,2024-12-31,2025-01-02,transition,2,4750.67,4625.11,3,-0.02642995619565247
192,2025-01-03,2025-01-07,risk_off,3,4523.12,4567.61,5,0.009836130812359567
193,2025-01-08,2025-01-09,transition,2,4559.04,4558.51,2,-0.00011625254439528998
194,2025-01-10,2025-01-13,risk_off,2,4475.61,4472.6,4,-0.000672534023295035
195,2025-01-14,2025-01-14,transition,1,4632.23,4632.23,1,0.0
196,2025-01-15,2025-01-15,risk_off,1,4604.12,4604.12,1,0.0
197,2025-01-16,2025-02-18,transition,18,4620.34,4820.19,34,0.043254392533882635
