state_id,split_bucket,drift_axis,bucket_id,treated_n,treated_share,native_share,complement_share,treated_minus_native_share,treated_minus_complement_share,drift_status
repair_close_position_participation_core_30,validation,board,chinext,2985,0.06968174204355108,0.1969432528096302,0.20345667158190733,-0.1272615107660791,-0.13377492953835624,primary_pass
repair_close_position_participation_core_30,validation,board,main_board,2985,0.930318257956449,0.8030567471903698,0.7965433284180926,0.12726151076607917,0.13377492953835635,primary_pass
repair_close_position_participation_core_30,validation,year,2022,2985,0.20804020100502513,0.3787332604759652,0.38746956551558587,-0.1706930594709401,-0.17942936451056074,caveat_relative_drift
repair_close_position_participation_core_30,validation,year,2023,2985,0.7919597989949749,0.6212667395240348,0.6125304344844141,0.17069305947094016,0.1794293645105608,caveat_relative_drift
repair_close_position_participation_core_30,validation,regime,risk_on,2985,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_close_position_participation_core_30,validation,liquidity,median_ratio,2985,0.5663214761550324,1.0,0.54584751314757,-0.43367852384496763,0.020473963007462403,primary_pass
repair_close_position_participation_core_30,validation,compression_severity,median_ratio,2985,0.6190193375746894,1.0,0.6019523292271176,-0.3809806624253106,0.0170670083475718,primary_pass
repair_close_position_participation_core_30,robustness,board,chinext,5814,0.07361541107671139,0.1851945426983325,0.1903926282051282,-0.1115791316216211,-0.11677721712841681,primary_pass
repair_close_position_participation_core_30,robustness,board,main_board,5814,0.9263845889232886,0.8148054573016675,0.8096073717948717,0.11157913162162103,0.11677721712841682,primary_pass
repair_close_position_participation_core_30,robustness,year,2024,5814,0.24527003783969728,0.4108135421930268,0.41852564102564105,-0.1655435043533295,-0.17325560318594377,caveat_relative_drift
repair_close_position_participation_core_30,robustness,year,2025,5814,0.7547299621603027,0.5891864578069732,0.581474358974359,0.16554350435332954,0.1732556031859438,caveat_relative_drift
repair_close_position_participation_core_30,robustness,regime,risk_on,5814,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_close_position_participation_core_30,robustness,liquidity,median_ratio,5814,0.6524912633357254,1.0,0.6389879238213458,-0.3475087366642746,0.013503339514379542,primary_pass
repair_close_position_participation_core_30,robustness,compression_severity,median_ratio,5814,0.6100404028572513,1.0,0.590154357895675,-0.38995959714274875,0.0198860449615762,primary_pass
