split,state_family_id,state_variant_id,action,horizon_id,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean
train,range_expansion_down_state,range_expansion_downside,continue,H10,0.03742767376162429,0.00022210064407440083,0.00022210064407440083
train,range_expansion_down_state,range_expansion_downside,continue,H20,0.055465658770781946,-0.0004829695366692019,-0.0004829695366692019
train,range_expansion_down_state,range_expansion_downside,continue,H60,0.08885634294680797,0.0003527514266623982,0.0003527514266623982
train,range_expansion_down_state,range_expansion_downside,exit,H5,0.0,0.02696323099985938,0.02696323099985938
train,range_expansion_down_state,range_expansion_downside,exit,H10,0.0,0.03742767376162429,0.03742767376162429
train,range_expansion_down_state,range_expansion_downside,exit,H20,0.0,0.055465658770781946,0.055465658770781946
train,range_expansion_down_state,range_expansion_downside,exit,H60,0.0,0.08885634294680797,0.08885634294680797
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H5,0.014945826925662715,0.012017404074196665,0.012017404074196665
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H10,0.02080676986854943,0.016620903893074863,0.016620903893074863
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H20,0.030587789106373782,0.024877869664408164,0.024877869664408164
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H60,0.049052051172017566,0.039804291774790404,0.039804291774790404
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H5,0.010138865295984047,0.016824365703875334,0.016824365703875334
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H10,0.014158408311319485,0.023269265450304808,0.023269265450304808
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H20,0.02063664124061051,0.03482901753017144,0.03482901753017144
train,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H60,0.0331303344621014,0.05572600848470657,0.05572600848470657
train,profit_giveback_state,profit_giveback_10_6,no_action,H5,0.033875485003854414,0.0,0.0
train,profit_giveback_state,profit_giveback_10_6,no_action,H10,0.04737366666182085,0.0,0.0
train,profit_giveback_state,profit_giveback_10_6,no_action,H20,0.06411044702265992,0.0,0.0
train,profit_giveback_state,profit_giveback_10_6,no_action,H60,0.09363545439138206,0.0,0.0
train,profit_giveback_state,profit_giveback_10_6,continue,H5,0.033875485003854414,-0.005524492391961875,-0.005524492391961875
train,profit_giveback_state,profit_giveback_10_6,continue,H10,0.04737366666182085,-0.009723892256122156,-0.009723892256122156
train,profit_giveback_state,profit_giveback_10_6,continue,H20,0.06411044702265992,-0.009127757788547172,-0.009127757788547172
train,profit_giveback_state,profit_giveback_10_6,continue,H60,0.09363545439138206,-0.00442636001791169,-0.00442636001791169
train,profit_giveback_state,profit_giveback_10_6,exit,H5,0.0,0.033875485003854414,0.033875485003854414
train,profit_giveback_state,profit_giveback_10_6,exit,H10,0.0,0.04737366666182085,0.04737366666182085
train,profit_giveback_state,profit_giveback_10_6,exit,H20,0.0,0.06411044702265992,0.06411044702265992
train,profit_giveback_state,profit_giveback_10_6,exit,H60,0.0,0.09363545439138206,0.09363545439138206
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H5,0.02105316314295035,0.012822321860904064,0.012822321860904064
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H10,0.028965969544216822,0.018407697117604028,0.018407697117604028
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H20,0.038658739005802696,0.02545170801685722,0.02545170801685722
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H60,0.05592602291979833,0.03770943147158373,0.03770943147158373
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H5,0.015924234398588727,0.017951250605265687,0.017951250605265687
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H10,0.02160289069717521,0.02577077596464564,0.02577077596464564
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H20,0.028478055799059803,0.03563239122360011,0.03563239122360011
train,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H60,0.040842250331164835,0.05279320406021722,0.05279320406021722
